Rank,Team,Season,League,qualify
2,RB Leipzig,2020-2021,Bundesliga,TRUE
3,Borussia Dortmund,2020-2021,Bundesliga,TRUE
4,VfL Wolfsburg,2020-2021,Bundesliga,TRUE
5,Eintracht Frankfurt,2020-2021,Bundesliga,FALSE
6,Bayer Leverkusen,2020-2021,Bundesliga,FALSE
7,1. FC Union Berlin,2020-2021,Bundesliga,FALSE
8,Bor. Mönchengladbach,2020-2021,Bundesliga,FALSE
9,VfB Stuttgart,2020-2021,Bundesliga,FALSE
10,SC Freiburg,2020-2021,Bundesliga,FALSE
11,1899 Hoffenheim,2020-2021,Bundesliga,FALSE
12,1. FSV Mainz 05,2020-2021,Bundesliga,FALSE
13,FC Augsburg,2020-2021,Bundesliga,FALSE
14,Hertha BSC,2020-2021,Bundesliga,FALSE
15,Arminia Bielefeld,2020-2021,Bundesliga,FALSE
16,1. FC Köln,2020-2021,Bundesliga,FALSE
17,Werder Bremen,2020-2021,Bundesliga,FALSE
18,FC Schalke 04,2020-2021,Bundesliga,FALSE
1,Atlético Madrid,2020-2021,La Liga,TRUE
2,Real Madrid,2020-2021,La Liga,TRUE
3,FC Barcelona,2020-2021,La Liga,TRUE
4,Sevilla FC,2020-2021,La Liga,TRUE
5,Real Sociedad,2020-2021,La Liga,FALSE
6,Real Betis,2020-2021,La Liga,FALSE
7,Villarreal CF,2020-2021,La Liga,FALSE
8,Celta Vigo,2020-2021,La Liga,FALSE
9,Granada CF,2020-2021,La Liga,FALSE
10,Athletic Bilbao,2020-2021,La Liga,FALSE
11,CA Osasuna,2020-2021,La Liga,FALSE
12,Cádiz CF,2020-2021,La Liga,FALSE
13,Valencia CF,2020-2021,La Liga,FALSE
14,Levante UD,2020-2021,La Liga,FALSE
15,Getafe CF,2020-2021,La Liga,FALSE
16,CD Alavés,2020-2021,La Liga,FALSE
17,Elche CF,2020-2021,La Liga,FALSE
18,SD Huesca,2020-2021,La Liga,FALSE
19,Real Valladolid,2020-2021,La Liga,FALSE
20,SD Eibar,2020-2021,La Liga,FALSE
1,Manchester City,2020-2021,Premier League,TRUE
2,Manchester United,2020-2021,Premier League,TRUE
3,Liverpool FC,2020-2021,Premier League,TRUE
4,Chelsea FC,2020-2021,Premier League,TRUE
5,Leicester City,2020-2021,Premier League,FALSE
6,West Ham United,2020-2021,Premier League,FALSE
7,Tottenham Hotspur,2020-2021,Premier League,FALSE
8,Arsenal FC,2020-2021,Premier League,FALSE
9,Leeds United,2020-2021,Premier League,FALSE
10,Everton FC,2020-2021,Premier League,FALSE
11,Aston Villa,2020-2021,Premier League,FALSE
12,Newcastle United,2020-2021,Premier League,FALSE
13,Wolverhampton Wanderers,2020-2021,Premier League,FALSE
14,Crystal Palace,2020-2021,Premier League,FALSE
15,Southampton FC,2020-2021,Premier League,FALSE
16,Brighton & Hove Albion,2020-2021,Premier League,FALSE
17,Burnley FC,2020-2021,Premier League,FALSE
18,Fulham FC,2020-2021,Premier League,FALSE
